αβγό|яйцо
αγαπάω|любить
αγάπη|любовь
αγαπημένος|любимый
αγγελία|объявление
Αγγλία|Англия
αγγλικά|английский язык
Άγγλος|англичанин
αγγούρι|огурец
άγιος|святой
αγκαλιά|объятие
αγνός|чистый (нравственно)
άγνωστος|незнакомый
αγορά|рынок
αγοράζω|покупать
αγόρι|мальчик
άγριος|дикий
άγχος|стресс
αγώνας|матч
αγωνία|беспокойство
άδεια|отпуск
άδειος|пустой
αδερφή|сестра
αδερφός|брат
αδύνατος|худой
αέρας|воздух
αεροδρόμιο|аэропорт
αεροπλάνο|самолёт
Αθανασία|Афанасия
Αθήνα|Афины
άθλημα|вид спорта
αθλητικός|спортивный
αθλητισμός|спорт
αίθουσα|зал
αισθάνομαι|чувствовать (физически)
αισθηματικός|сентиментальный
αίτηση|заявление
αιτία|причина
ακολουθώ|следовать
ακόμη|ещё
ακούω|слушать
άκρη|край
ακριβός|дорогой
ακριβώς|точно
ακτή|побережье
αλλά|но
αλάτι|соль
Αλέξανδρος|Александр
Αλέξης|Алексис
Αλεξία|Алексия
αλεύρι|мука
αλήθεια|правда
αληθινά|действительно
Αλίκη|Алики
αλλιώς|иначе
αλλαγή|изменение
αλλάζω|менять
άλλος|другой
αμέσως|немедленно
αμύγδαλο|миндаль
αν|если
Αννα|Анна
ανάγκη|необходимость
ανακατεύω|смешивать
ανακύκλωση|переработка
ανάλογα|в зависимости
αναπαυτικά|удобно
αναπνοή|дыхание
Αναστασία|Анастасия
ανατολικός|восточный
αναψυκτικό|прохладительный напиток
ανεβαίνω|подниматься
άνθρωπος|человек
ανιψιός|племянник
ανιψιά|племянница
ανακατεμένος|смешанный
άνεμος|ветер (порыв)
άνεργος|безработный
άνεση|комфорт
αξεσουάρ|аксессуар
αξιοθέατο|достопримечательность
Άννα|Анна (с ударением)
ανοίγω|открывать
άνοιξη|весна
ανοιχτός|открытый
αντίθετος|противоположный
αντικείμενο|предмет
άντρας|мужчина
αντρικός|мужской
Αντώνης|Антонис
απαντάω|отвечать
απάντηση|ответ
απαραίτητος|необходимый
απέναντι|напротив
απλός|простой
απλώνω|расстилать
από|от
μέσα|внутри
τότε|тогда
απόγευμα|вторая половина дня
απογευματινός|послеполуденный
αποθήκη|кладовая
αποκτώ|приобретать
Απόκριες|масленица
αποτέλεσμα|результат
απόφαση|решение (волевое)
αποφασίζω|решать
απορρυπαντικό|моющее средство
αργά|поздно
αργός|медленный
αργώ|опаздывать
αρέσει|нравиться
άρθρο|статья
αριθμός|число
αρκετός|достаточный
αριστερά|налево
αρνητικά|отрицательно
αρνί|ягнёнок
ελληνικά|греческий язык
αρχαιότητα|древность
αρχή|начало
αρχιτέκτονας|архитектор
αρχίζω|начинать (процесс)
άρρωστος|больной
ασανσέρ|лифт
άσκηση|упражнение
άσπρος|белый
αστείος|смешной
αστράφτω|сверкать
αστράφτει|сверкает молния
αστυνομία|полиция
αστυνομικός|полицейский
ασφάλεια|безопасность
άσχημα|плохо
άσχημος|некрасивый
ασχολία|занятие
άτομο|индивид
ατυχία|невезение
Αύγουστος|август
αυλή|двор
αύριο|завтра
αυτοί|они
αυτοκίνητο|автомобиль
αυτός|этот
αφεντικό|начальник
αφετηρία|отправная точка
αφήνω|оставлять
αφίσα|плакат
ας|пусть
βάζω|класть
βαθμός|оценка
βαλίτσα|чемодан
βαμβάκι|хлопок
βαρετός|скучный
βάση|основа
βασικός|основной
Βασίλης|Василис
Βασιλική|Василики
βασιλικός|базилик
Βάσω|Васо
βάφω|красить
βάφτιση|крещение
βγάζω|вынимать
βγαίνω|выходить
εβδομάδα|неделя
βέβαια|конечно
βεβαιώνω|подтверждать
Βερολίνο|Берлин
βήμα|шаг
βήχας|кашель
βιβλίο|книга
βιβλιοθήκη|библиотека
βιβλιοπωλείο|книжный магазин
Βίκυ|Вики
βιογραφικό|резюме
βλέπω|видеть
βοηθάω|помогать
βοήθεια|помощь
βόλτα|прогулка
βόρειος|северный
βουνό|гора
Βουλγαρία|Болгария
βούτυρο|масло (сливочное)
βραδινό|ужин
βράδυ|вечер (время)
βραδιά|вечер (мероприятие)
βράζω|варить
βραστός|варёный
βρέχει|идёт дождь
βρέχομαι|промокать
βρίσκω|находить
βρίσκομαι|находиться
βρομιά|грязь
βρόμικος|грязный
βροχή|дождь
βυθός|морское дно
γάζα|марля
γάλα|молоко
γαλακτοκομικός|молочный
Γαλλία|Франция
γαλλικά|французский язык
γαλλικός|французский
Γάλλος|француз
γάμος|свадьба
γάντι|перчатка
γαρίφαλο|гвоздика
γάτα|кошка
γεια|привет
γείτονας|сосед
γειτονιά|квартал
γεμάτος|полный
γεμίζω|наполнять
γεννάω|рожать
γέννηση|рождение
γενέθλια|день рождения
Γεράσιμος|Герасимос
Γερμανία|Германия
γερμανικά|немецкий язык
γερμανικός|немецкий
Γερμανός|немец
γερά|крепко
γερός|здоровый
γεύμα|приём пищи
γεύση|вкус
γήπεδο|спортивное поле
αυτό|это
γιαγιά|бабушка
γιαλός|берег
Γιάννης|Яннис
γιαούρτι|йогурт
γιατί|потому что
γιατρός|врач
γίνομαι|становиться
γιος|сын
γιορτάζω|праздновать
γιορτή|праздник
Γιώργος|Георгос
γκαράζ|гараж
γλέντι|вечеринка
γλυκός|сладкий
γλυκό|десерт
γνώμη|мнение
γλώσσα|язык
μητρική|родной (язык)
γνωρίζω|знать (быть знакомым)
γνωριμία|знакомство
γνώση|знание
γνωστός|известный
γονείς|родители
γοργός|скорый
γράμμα|письмо
γραμματέας|секретарь
γραμματική|грамматика
γραμματοκιβώτιο|почтовый ящик
γραμματόσημο|марка
γραμμή|линия
γραπτός|письменный
γραφείο|офис
γράφω|писать
γρήγορα|быстро
γρήγορος|быстрый
Γρηγόρης|Григорис
γρίπη|грипп
γυαλί|стекло (материал)
γυαλιά|очки
Γυμνάσιο|гимназия
γυμναστής|тренер
γυμναστήριο|спортзал
γυμναστική|гимнастика
γυναίκα|женщина
γυρίζω|возвращаться
γύρω|вокруг
δάσκαλος|учитель
δάσος|лес
δείχνω|показывать
δέκα|десять
δεκαεννιά|девятнадцать
δεκαέξι|шестнадцать
δεκαεπτά|семнадцать
δεκαοκτώ|восемнадцать
δεκαπέντε|пятнадцать
δεκατέσσερις|четырнадцать
δέκατος|десятый
δεκατρείς|тринадцать
Δεκέμβριος|декабрь
δεξιά|направо
δερμάτινος|кожаный
Δέσποινα|Деспина
Δευτέρα|понедельник
δεύτερος|второй
δηλαδή|то есть
Δημαρχείο|мэрия
δήμαρχος|мэр
Δημήτρης|Димитрис
Δημήτριος|Димитриос
δημητριακά|злаки
δήμος|муниципалитет
Δημοτικό|начальная школа
δημόσιος|общественный
δημοσιογράφος|журналист
δημοτικός|муниципальный
δηλητηριάζω|отравлять
δηλητηρίαση|отравление
δηλώνω|заявлять
διαβάζω|читать
διάβασμα|чтение
διαβατήριο|паспорт
διαγράφω|удалять
διαγώνισμα|контрольная
διαγώνια|по диагонали
διαδοχικός|последовательный
διαδοχικά|последовательно
διαδρομή|маршрут
διαδικασία|процедура
διαδίκτυο|интернет
διάθεση|настроение
δίαιτα|диета
διακοπές|каникулы
διαλέγω|выбирать (разг.)
διάλειμμα|перерыв
διάλογος|диалог
διαμέρισμα|квартира
διάρκεια|продолжительность
διαρκώ|длиться
διάσημος|знаменитый
διασκεδάζω|развлекаться
διασκέδαση|развлечение
διάστημα|период
διατροφή|питание
διαφημίζω|рекламировать
διαφήμιση|реклама
