ναι|да
όχι|нет
ευχαριστώ|благодарю
παρακαλώ|прошу
συγγνώμη|извините
καλημέρα|доброе утро
καλησπέρα|добрый вечер
καληνύχτα|доброй ночи
καλή όρεξη|приятного аппетита
αντίο|до свидания
μία χαρά|отлично (одна радость)
πολύ καλά|всё хорошо (много хорошего)
έτσι και έτσι|так себе (так и так)
τα ίδια|всё так же
καλούτσικα|довольно хорошо
όχι και τόσο καλά|не очень хорошо
χάλια|плохо
Γεια σου|здравствуй (здоровья тебе)
Γεια χαρά|здравствуй (здоровья в радость)
Χάρηκα πολύ|был рад увидеться (радовался много)
και εγώ επίσης|и я тоже
Πώς σε λένε;|как тебя зовут?
Πώς σας λένε;|как вас зовут?
Τι κάνετε;|как дела? (что делаете?)
Πόσο χρονών είσαι;|сколько тебе лет?
