εγώ|я
με|меня (В.П. слабое)
μου|меня (Р.П. слабое)
μένα|меня (В.П./Р.П. сильное)

εμείς|мы
μάς|нас (В.П./Р.П. сильное/слабое)

εσύ|ты
σου|тебя (В.П. слабое)
σε|тебя (Р.П. слабое)
σένα|тебя (В.П./Р.П. сильное)

αυτός|он
αυτόν|его (В.П. сильное)
αυτού|его (м.р./с.р. Р.П. сильное)
τον|его (В.П. слабое)
του|его (м.р./с.р. Р.П. слабое)

αυτή|она
αυτήν|её (В.П. сильное)
αυτής|её (Р.П. сильное)
τηv|её (В.П. слабое)|150000
της|её (В.П. сильное)

αυτό|оно (И.П./В.П. сильное)
το|оно (И.П./В.П. слабое)

αυτών|их (Р.П. сильное)

αυτοί|они (м.р. И.П. сильное)
αυτούς|их (м.р. В.П. сильное)
αυτές|они/их (ж.р. И.П./В.П. сильное)
αυτά|они/их (с.р. И.П./В.П. сильное)

τους|их (Р.П. слабое) (м.р. В.П. слабое)
τις|их (ж.р. В.П. слабое)
