διαφήμιση|реклама
εμφάνιση|появление на сцене
παράσταση|выступление
ρεσιτάλ|сольный концерт
καλλιτέχνης|артист
αφίσα|афиша
γνωστός|известный
σύγχρονος|современный
συναυλία|концерт
αίθουσα|зал
εκδήλωση|мероприятие
κανονικός|обычный, нормальный
γεγονός|событие
διασκέδαση|веселье
συνθέτης|композитор
συγγραφέας|писатель
διαλέγω|выбирать (подбирать из имеющегося)
επιλέγω|выбирать (принимать решение, делать выбор)
έκπτωση|скидка
ποιητής|поэт
ωδείο|консерватория
γήπεδο|стадион (греческое)
διάρκεια|длительность
