//Еда
φαγητό|еда
ψωμί|хлеб
τυρί|сыр
γάλα|молоко
βούτυρο|масло (сливочное)
λάδι|масло (растительное)
κρέας|мясо
κοτόπουλο|курятина
αυγό|яйцо
ρύζι|рис
μακαρόνια|макароны
σαλάτα|салат
φρούτο|фрукт
λαχανικό|овощ
πατάτα|картофель
κρεμμύδι|лук
καρότο|морковь
ντομάτα|помидор
αγγούρι|огурец
πιπεριά|перец
μήλο|яблоко
πορτοκάλι|апельсин
σταφύλι|виноград
καρπούζι|арбуз
σοκολάτα|шоколад
γλυκό|десерт
παγωτό|мороженое
καφές|кофе
τσάι|чай
προϊόν|товар
ποτό|напиток
πάγος|лед
ζάχαρη|сахар
αλάτι|соль
αλεύρι|мука
αναψυκτικό|прохладитеьный напиток

//Дом
σπίτι|дом
πόρτα|дверь
παράθυρο|окно
δωμάτιο|комната
κουζίνα|кухня
μπάνιο|ванная
σαλόνι|гостиная
υπνοδωμάτιο|спальня
τραπεζαρία|столовая
πάτωμα|пол
ταβάνι|потолок
τοίχος|стена
μπαλκόνι|балкон
αυλή|двор
σκάλα|лестница
καρέκλα|стул
τραπέζι|стол
κρεβάτι|кровать
ντουλάπα|шкаф
κουβέρτα|одеяло
μαξιλάρι|подушка
πολυθρόνα|кресло
καναπές|диван

//Семья
οικογένεια|семья
πατέρας|отец
μητέρα|мать
γιος|сын
κόρη|дочь
αδελφός|брат
αδελφή|сестра
παππούς|дедушка
γιαγιά|бабушка
θείος|дядя
θεία|тётя
ξάδελφος|двоюродный брат
ξαδέλφη|двоюродная сестра
άντρας|мужчина (муж)
γυναίκα|женщина (жена)
παιδί|ребёнок
παιδιά|дети
εγγονός|внук
εγγονή|внучка
Γονέας|родитель
Γονείς|родители
αγόρι|мальчик
κορίτσι|девочка

//Посуда
πιάτο|тарелка
ποτήρι|стакан
κούπα|кружка
φλιτζάνι|чашка
μαχαίρι|нож
πιρούνι|вилка
κουτάλι|ложка
κατσαρόλα|кастрюля
τηγάνι|сковорода

//Тело
σώμα|тело
κεφάλι|голова
πρόσωπο|лицо
μαλλιά|волосы
μάτι|глаз
αυτί|ухо
μύτη|нос
στόμα|рот
δόντι|зуб
γλώσσα|язык
λαιμός|шея, горло
χέρι|рука
δάχτυλο|палец
στήθος|грудь
κοιλιά|живот
πλάτη|спина
πόδι|нога

//Одежда
ρούχα|одежда
πουκάμισο|рубашка
μπλούζα|блузка
φόρεμα|платье
παντελόνι|брюки
φούστα|юбка
σακάκι|пиджак
μαγιό|купальник
παπούτσια|обувь
μπότα|сапог
κάλτσα|носок
καπέλο|шляпа
τσάντα|сумка

//Животные
ζώο|животное
σκύλος|собака
γάτα|кошка
πουλί|птица
ψάρι|рыба
άλογο|лошадь
αγελάδα|корова
πρόβατο|овца
κατσίκα|коза
κότα|курица
λύκος|волк
αρκούδα|медведь
αλεπού|лиса
ελάφι|олень
λαγός|заяц
ποντικός|мышь
μέλισσα|пчела
ελέφαντας|слон
καμήλα|верблюд
κουνέλι|кролик
γαϊδούρι|осёл
χελώνα|черепаха
αράχνη|паук
τίγρης|тигр
λιοντάρι|лев

//Город
πόλη|город
δρόμος|дорога
πλατεία|площадь
