να ψάξω|искать (зависимая форма)
να μιλήσω|говорить (зависимая форма)
να πάω|идти, ехать (зависимая форма)
να δω|видеть (зависимая форма)
να έρθω|приходить (зависимая форма)
να γράψω|писать (зависимая форма)
να διαβάσω|читать (зависимая форма)
να μάθω|учить, узнавать (зависимая форма)
να τρέξω|бежать (зависимая форма)
να κοιμηθώ|спать (зависимая форма)
να φάω|есть (зависимая форма)
να πιω|пить (зависимая форма)
να αγοράσω|покупать (зависимая форма)
να πουλήσω|продавать (зависимая форма)
να ξεκινήσω|начинать (зависимая форма)
να κοιτάξω|смотреть (зависимая форма)
να ακούσω|слушать (зависимая форма)
να ταξιδέψω|путешествовать (зависимая форма)
να κολυμπήσω|плавать (зависимая форма)
να μείνω|проживать (зависимая форма)
να κάτσω|сидеть (зависимая форма)
να γίνω|становиться (зависимая форма)
να ρωτήσω|спрашивать (зависимая форма)
να απαντήσω|отвечать (зависимая форма)
να δώσω|давать (зависимая форма)
να πάρω|брать (зависимая форма)
να ανοίξω|открывать (зависимая форма)
να κλείσω|закрывать (зависимая форма)
να περάσω|проходить (зависимая форма)
να φτιάξω|готовить, делать (зависимая форма)
να καθαρίσω|убирать, чистить (зависимая форма)
να πληρώσω|платить (зависимая форма)
να γιορτάσω|праздновать (зависимая форма)
να δουλέψω|работать (зависимая форма)
να περιμένω|ждать (зависимая форма)
να ετοιμάσω|готовить (зависимая форма)
να παίξω|играть (зависимая форма)
να πλέξω|вязать (зависимая форма)
να προσέξω|заботиться (зависимая форма)
να λείψω|отправлять (зависимая форма)
να ανάψω|включать (зависимая форма)
να γελάσω|смеяться (зависимая форма)
να φορέσω|носить (зависимая форма)
να πετάξω|летать (зависимая форма)
να βάλω|класть (зависимая форма)
να βγάλω|вынимать (зависимая форма)
να καταλάβω|понимать (зависимая форма)
να πλύνω|мыть (зависимая форма)
να στείλω|отпрвлять (зависимая форма)
να φέρω|приносить (зависимая форма)
να φύγω|уходить (зависимая форма)
να έχω|иметь (зависимая форма)
να κάνω|делать (зависимая форма)
να ξέρω|знать (зависимая форма)
να είμαι|быть (зависимая форма)
να βγω|выходить (зависимая форма)|10000
να βρω|находить (зависимая форма)|10000
να πω|говорить (зависимая форма)
να μπω|входить (зависимая форма)
