//A
[εγώ] βλέπω|я вижу
[εσύ] βλέπεις|ты видишь
[αυτός] βλέπει|он видит
[εμείς] βλέπουμε|мы видим
[εσείς] βλέπετε|вы видите
[αυτόι] βλέπουν|они видят

//ΑΒ
[εγώ] τρώω|я ем
[εσύ] τρως|ты ешь|300
[αυτός] τρώει|он ест
[εμείς] τρώμε|мы едим
[εσείς] τρώτε|вы едите
[αυτοί] τρώνε|они едят

//Β1
[εγώ] πάω|я иду
[εσύ] πας|ты идёшь
[αυτός] πάει|он идёт
[εμείς] πάμε|мы идём
[εσείς] πάτε|вы идёте
[αυτοί] πάνε|они идут

//Β2
[εγώ] οδηγώ|я вожу
[εσύ] οδηγείς|ты водишь
[αυτός] οδηγεί|он водит
[εμείς] οδηγούμε|мы водим
[εσείς] οδηγείτε|вы водите
[αυτοί] οδηγούν|они водят

//Γ1
[εγώ] έρχομαι|я прихожу
[εσύ] έρχεσαι|ты приходишь
[αυτός] έρχεται|он приходит
[εμείς] ερχόμαστε|мы приходим
[εσείς] έρχεστε|вы приходите
[αυτοί] έρχονται|они приходят
