Μία χαρά	отлично (только радость)
πολύ καλά	всё хорошо (много хорошего)
έτσι και έτσι	так себе (так и так)
τα ίδια	всё так же
καλούτσικα	довольно хорошо
όχι και τόσο καλά	не очень хорошо
χάλια	плохо
Γεια σου	здравствуй (здоровья тебе)
Γεια χαρά	здравствуй (здоровья в радость)
Χάρηκα πολύ	был рад увидеться (радовался много)
και εγώ επίσης	и я тоже
Για παράδειγμα	к примеру
Πώς σε λένε;	как тебя зовут?
Πώς σας λένε;	как вас зовут?
Τι κάνετε;	что делаете?
είμαι	быть
έχω	иметь
κάνω	делать
πηγαίνω	идти, ехать
βλέπω	видеть
λέω	говорить
ακούω	слышать
γράφω	писать
διαβάζω	читать
τρώω	есть
πίνω	пить
θέλω	хотеть
μπορώ	мочь
δουλεύω	работать
παίζω	играть
αγαπάω	любить
μένω	проживать
ξέρω	знать
καταλαβαίνω	понимать
ανοίγω	открывать
ένα	один
δύο	два
τρία	три
τέσσερα	четыре
πέντε	пять
έξι	шесть
επτά	семь
οκτώ	восемь
εννέα	девять
δέκα	десять
έντεκα	одиннадцать
δώδεκα	двенадцать
είκοσι	двадцать
τριάντα	тридцать
σαράντα	сорок
πενήντα	пятьдесят
εξήντα	шестьдесят
εβδομήντα	семьдесят
ογδόντα	восемьдесят
νενήντα	девяносто
εκατό	сто
Δευτέρα	понедельник
Τρίτη	вторник
Τετάρτη	среда
Πέμπτη	четверг
Παρασκευή	пятница
Σάββατο	суббота
Κυριακή	воскресенье
το φαγητό	еда
το ψωμί	хлеб
το τυρί	сыр
το γάλα	молоко
το βούτυρο	масло (сливочное)
το λάδι	масло (растительное)
το κρέας	мясо
το κοτόπουλο	курятина
το ψάρι	рыба
το αυγό	яйцо
το ρύζι	рис
τα μακαρόνια	макароны
η σαλάτα	салат
το φρούτο	фрукт
το λαχανικό	овощ
η πατάτα	картофель
το κρεμμύδι	лук
το καρότο	морковь
η ντομάτα	помидор
το αγγούρι	огурец
η πιπεριά	перец
το μήλο	яблоко
το πορτοκάλι	апельсин
το σταφύλι	виноград
το καρπούζι	арбуз
η σοκολάτα	шоколад
το γλυκό	десерт
το παγωτό	мороженое
ο καφές	кофе
το τσάι	чай
το σπίτι	дом
η πόρτα	дверь
το παράθυρο	окно
το δωμάτιο	комната
η κουζίνα	кухня
το μπάνιο	ванная
το σαλόνι	гостиная
το υπνοδωμάτιο	спальня
η τραπεζαρία	столовая
το πάτωμα	пол
το ταβάνι	потолок
ο τοίχος	стена
το μπαλκόνι	балкон
η αυλή	двор
η σκάλα	лестница
η καρέκλα	стул
το τραπέζι	стол
το κρεβάτι	кровать
η ντουλάπα	шкаф
η οικογένεια	семья
ο πατέρας	отец
η μητέρα	мать
ο γιος	сын
η κόρη	дочь
ο αδελφός	брат
η αδελφή	сестра
ο παππούς	дедушка
η γιαγιά	бабушка
ο θείος	дядя
η θεία	тётя
ο ξάδελφος	двоюродный брат
η ξαδέλφη	двоюродная сестра
ο άντρας	муж
η γυναίκα	жена
το παιδί	ребёнок
τα παιδιά	дети
ο εγγονός	внук
η εγγονή	внучка
το πιάτο	тарелка
το ποτήρι	стакан
η κούπα	кружка
το φλιτζάνι	чашка
το μαχαίρι	нож
το πιρούνι	вилка
το κουτάλι	ложка
η κατσαρόλα	кастрюля
το τηγάνι	сковорода
το σώμα	тело
το κεφάλι	голова
το πρόσωπο	лицо
τα μαλλιά	волосы
το μάτι	глаз
το αυτί	ухо
η μύτη	нос
το στόμα	рот
το δόντι	зуб
η γλώσσα	язык
ο λαιμός	шея, горло
το χέρι	рука
το δάχτυλο	палец
το στήθος	грудь
η κοιλιά	живот
η πλάτη	спина
το πόδι	нога
τα ρούχα	одежда
το πουκάμισο	рубашка
η μπλούζα	блузка
το φόρεμα	платье
το παντελόνι	брюки
η φούστα	юбка
το σακάκι	пиджак
το μαγιό	купальник
τα παπούτσια	обувь
οι μπότες	сапоги
οι κάλτσες	носки
το καπέλο	шляпа
η τσάντα	сумка
το ζώο	животное
ο σκύλος	собака
η γάτα	кошка
το πουλί	птица
το ψάρι	рыба
το άλογο	лошадь
η αγελάδα	корова
το πρόβατο	овца
η κατσίκα	коза
η κότα	курица
ο λύκος	волк
η αρκούδα	медведь
η αλεπού	лиса
το ελάφι	олень
ο λαγός	заяц
ο ποντικός	мышь
η μέλισσα	пчела
ο ελέφαντας	слон
η καμήλα	верблюд
η πόλη	город
ο δρόμος	дорога
η πλατεία	площадь
το κτήριο	здание
η αγορά	рынок
το σχολείο	школа
το νοσοκομείο	больница
η τράπεζα	банк
το ταχυδρομείο	почта
το ξενοδοχείο	отель
το αεροδρόμιο	аэропорт
η στάση	остановка
το λεωφορείο	автобус
το ταξί	такси
ναι	да
όχι	нет
ευχαριστώ	спасибо
παρακαλώ	пожалуйста
συγγνώμη	извините
καλημέρα	доброе утро
καλησπέρα	добрый вечер
καληνύχτα	доброй ночи
καλή όρεξη	приятного аппетита
αντίο	до свидания
γρήγορα	быстро
αργά	медленно
ωραία	красиво
καλό	хорошее
κακό	плохое
πολύ	много
λίγο	немного
πάντα	всегда
ποτέ	никогда
σήμερα	сегодня
αύριο	завтра
χθες	вчера
πριν	до
μετά	после
τώρα	сейчас
αργότερα	позже
κανένας	никто
όλοι	все
η άνοιξη	весна
το καλοκαίρι	лето
το φθινόπωρο	осень
ο χειμώνας	зима
κόκκινο	красный
μπλε	синий
πράσινο	зелёный
λευκό	белый
μαύρο	чёрный
κίτρινο	жёлтый
ροζ	розовый
μοβ	фиолетовый
καφέ	коричневый
γκρίζο	серый
το νερό	вода
ο ήλιος	солнце
το φεγγάρι	луна
η γη	земля
ο αέρας	воздух
η θάλασσα	море
η φωτιά	огонь
ο κόσμος	мир
η ζωή	жизнь
ο χρόνος	время
η τέχνη	искусство
ο πολιτισμός	культура
η μουσική	музыка
το θέατρο	театр
το βιβλίο	книга
η ταινία	фильм
το ταξίδι	путешествие
η τιμή	цена
εδώ	здесь
εκεί	там
πάνω	наверху
κάτω	внизу
μέσα	внутри
έξω	снаружи
μπροστά	перед
πίσω	за, позади
δεξιά	справа
αριστερά	слева
ανάμεσα	между
κοντά	рядом
μακριά	далеко
δίπλα	рядом, сбоку
εγώ	я
εσύ	ты
αυτός	он
αυτή	она
αυτό	оно
εμείς	мы
εσείς	вы
αυτοί	они (мужчины или смешанный состав)
αυτές	они (женщины)
αυτά	они (средний род)
καλός	хороший
κακός	плохой
μεγάλος	большой
μικρός	маленький
όμορφος	красивый
άσχημος	некрасивый
καινούριος	новый
παλιός	старый
ψηλός	высокий
κοντός	низкий, короткий
ευτυχισμένος	счастливый
λυπημένος	грустный
εύκολος	лёгкий (по сложности)
δύσκολος	сложный
γλυκός	сладкий
πικρός	горький
ζεστός	тёплый
κρύος	холодный
γρήγορος	быстрый
αργός	медленный
πλούσιος	богатый
φτωχός	бедный
