[0,899]
φαγητό|еда
ψωμί|хлеб
τυρί|сыр
γάλα|молоко
βούτυρο|масло (сливочное)
λάδι|масло (растительное)
κρέας|мясо
κοτόπουλο|курятина
ψάρι|рыба
αυγό|яйцо
ρύζι|рис
μακαρόνια|макароны
σαλάτα|салат
φρούτο|фрукт
λαχανικό|овощ
πατάτα|картофель
κρεμμύδι|лук
καρότο|морковь
ντομάτα|помидор
αγγούρι|огурец
πιπεριά|перец
μήλο|яблоко
πορτοκάλι|апельсин
σταφύλι|виноград
καρπούζι|арбуз
σοκολάτα|шоколад
γλυκό|десерт
παγωτό|мороженое
καφές|кофе
τσάι|чай
σπίτι|дом
πόρτα|дверь
παράθυρο|окно
δωμάτιο|комната
κουζίνα|кухня
μπάνιο|ванная
σαλόνι|гостиная
υπνοδωμάτιο|спальня
τραπεζαρία|столовая
πάτωμα|пол
ταβάνι|потолок
τοίχος|стена
μπαλκόνι|балкон
αυλή|двор
σκάλα|лестница
καρέκλα|стул
τραπέζι|стол
κρεβάτι|кровать
ντουλάπα|шкаф
οικογένεια|семья
πατέρας|отец
μητέρα|мать
γιος|сын
κόρη|дочь
αδελφός|брат
αδελφή|сестра
παππούς|дедушка
γιαγιά|бабушка
θείος|дядя
θεία|тётя
ξάδελφος|двоюродный брат
ξαδέλφη|двоюродная сестра
άντρας|муж
γυναίκα|жена
παιδί|ребёнок
παιδιά|дети
εγγονός|внук
εγγονή|внучка
πιάτο|тарелка
ποτήρι|стакан
κούπα|кружка
φλιτζάνι|чашка
μαχαίρι|нож
πιρούνι|вилка
κουτάλι|ложка
κατσαρόλα|кастрюля
τηγάνι|сковорода
σώμα|тело
κεφάλι|голова
πρόσωπο|лицо
μαλλιά|волосы
μάτι|глаз
αυτί|ухо
μύτη|нос
στόμα|рот
δόντι|зуб
γλώσσα|язык
λαιμός|шея, горло
χέρι|рука
δάχτυλο|палец
στήθος|грудь
κοιλιά|живот
πλάτη|спина
πόδι|нога
ρούχα|одежда
πουκάμισο|рубашка
μπλούζα|блузка
φόρεμα|платье
παντελόνι|брюки
φούστα|юбка
σακάκι|пиджак
μαγιό|купальник
παπούτσια|обувь
μπότα|сапог
κάλτσα|носок
καπέλο|шляпа
τσάντα|сумка
ζώο|животное
σκύλος|собака
γάτα|кошка
πουλί|птица
ψάρι|рыба
άλογο|лошадь
αγελάδα|корова
πρόβατο|овца
κατσίκα|коза
κότα|курица
λύκος|волк
αρκούδα|медведь
αλεπού|лиса
ελάφι|олень
λαγός|заяц
ποντικός|мышь
μέλισσα|пчела
ελέφαντας|слон
καμήλα|верблюд
πόλη|город
δρόμος|дорога
πλατεία|площадь
κτήριο|здание
αγορά|рынок
σχολείο|школа
νοσοκομείο|больница
τράπεζα|банк
ταχυδρομείο|почта
ξενοδοχείο|отель
αεροδρόμιο|аэропорт
στάση|остановка
λεωφορείο|автобус
ταξί|такси
ναι|да
όχι|нет
ευχαριστώ|спасибо
παρακαλώ|пожалуйста
συγγνώμη|извините
καλημέρα|доброе утро
καλησπέρα|добрый вечер
καληνύχτα|доброй ночи
καλή όρεξη|приятного аппетита
αντίο|до свидания
γρήγορα|быстро
αργά|медленно
ωραία|красиво
καλό|хорошее
κακό|плохое
πολύ|много
λίγο|немного
πάντα|всегда
ποτέ|никогда
σήμερα|сегодня
αύριο|завтра
χθες|вчера
πριν|до
μετά|после
τώρα|сейчас
αργότερα|позже
κανένας|никто
όλοι|все
άνοιξη|весна
καλοκαίρι|лето
φθινόπωρο|осень
χειμώνας|зима
κόκκινο|красный
μπλε|синий
πράσινο|зелёный
λευκό|белый
μαύρο|чёрный
κίτρινο|жёлтый
ροζ|розовый
μοβ|фиолетовый
καφέ|коричневый
γκρίζο|серый
νερό|вода
ήλιος|солнце
φεγγάρι|луна
γη|земля
αέρας|воздух
θάλασσα|море
φωτιά|огонь
κόσμος|мир
ζωή|жизнь
χρόνος|время
τέχνη|искусство
πολιτισμός|культура
μουσική|музыка
θέατρο|театр
βιβλίο|книга
ταινία|фильм
ταξίδι|путешествие
τιμή|цена
